,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
161,2019-06-13,87.98333333333333,77.39333333333333,67.52777777777777,62.12777777777778,66.42555555555553,62.12777777777778,92.27777777777777,71.2961111111111,47.87777777777778,14.622222222222222,6.599999999999998,1.2777777777777777,0.0,29.801666666666737,0.0,0.0
162,2019-06-14,88.13333333333334,77.51444444444445,67.63333333333334,62.28888888888889,66.55999999999997,62.28888888888889,92.27777777777777,71.33944444444445,47.87777777777778,14.622222222222222,6.598333333333331,1.2777777777777777,0.0,29.7983333333334,0.0,0.0
163,2019-06-15,88.2611111111111,77.64666666666666,67.7611111111111,62.41111111111111,66.67833333333331,62.41111111111111,92.25,71.30666666666667,47.83888888888889,14.644444444444444,6.609999999999998,1.3055555555555556,0.0,29.795000000000062,0.0,0.0
164,2019-06-16,88.47222222222223,77.80722222222221,67.91111111111111,62.55,66.80388888888888,62.55,92.18888888888888,71.21833333333333,47.62777777777778,14.661111111111111,6.623888888888887,1.288888888888889,0.0,29.79222222222228,0.0,0.0
165,2019-06-17,88.62222222222222,77.96333333333332,68.07222222222222,62.7,66.94777777777776,62.7,92.15555555555555,71.19666666666666,47.605555555555554,14.672222222222222,6.630555555555553,1.288888888888889,0.0,29.789444444444502,0.0,0.0
166,2019-06-18,88.74444444444444,78.08999999999999,68.22222222222223,62.85,67.08444444444443,62.85,92.15555555555555,71.225,47.66111111111111,14.7,6.643888888888886,1.288888888888889,0.0,29.78666666666672,0.0,0.0
167,2019-06-19,88.88888888888889,78.2311111111111,68.35555555555555,63.01111111111111,67.23833333333332,63.01111111111111,92.12222222222222,71.25999999999999,47.78333333333333,14.733333333333333,6.65222222222222,1.288888888888889,0.0,29.784444444444492,0.0,0.0
168,2019-06-20,89.0111111111111,78.36555555555553,68.50555555555556,63.16111111111111,67.40444444444444,63.16111111111111,92.15555555555555,71.34444444444445,47.91111111111111,14.738888888888889,6.66611111111111,1.288888888888889,0.0,29.781666666666712,0.0,0.0
169,2019-06-21,89.09444444444445,78.48166666666664,68.65555555555555,63.32222222222222,67.55666666666666,63.32222222222222,92.15555555555555,71.44277777777778,48.08888888888889,14.761111111111111,6.6966666666666645,1.3055555555555556,0.0,29.779444444444486,0.0,0.0
170,2019-06-22,89.20555555555555,78.6022222222222,68.80555555555556,63.47222222222222,67.70444444444443,63.47222222222222,92.18888888888888,71.515,48.15555555555556,14.811111111111112,6.732777777777776,1.3222222222222222,0.0,29.777777777777818,0.0,0.0
171,2019-06-23,89.32777777777778,78.73611111111109,68.95555555555555,63.65555555555556,67.8722222222222,63.65555555555556,92.22222222222223,71.59388888888888,48.266666666666666,14.855555555555556,6.7672222222222205,1.3388888888888888,0.0,29.776111111111156,0.0,0.0
172,2019-06-24,89.45,78.88499999999998,69.13333333333334,63.855555555555554,68.0561111111111,63.855555555555554,92.22222222222223,71.66888888888889,48.43333333333333,14.883333333333333,6.802777777777776,1.3722222222222222,0.0,29.774444444444487,0.0,0.0
173,2019-06-25,89.59444444444445,79.03999999999998,69.31111111111112,64.04444444444445,68.2483333333333,64.04444444444445,92.25555555555556,71.7561111111111,48.57222222222222,14.911111111111111,6.857777777777776,1.4111111111111112,0.0,29.77277777777782,0.0,0.0
174,2019-06-26,89.73333333333333,79.19999999999997,69.5,64.25555555555556,68.4383333333333,64.25555555555556,92.28888888888889,71.82166666666664,48.705555555555556,14.933333333333334,6.923333333333331,1.4777777777777779,0.0,29.770555555555596,0.0,0.0
175,2019-06-27,89.86111111111111,79.3661111111111,69.68888888888888,64.44444444444444,68.6333333333333,64.44444444444444,92.32777777777778,71.89611111111108,48.82222222222222,14.972222222222221,6.968333333333332,1.5166666666666666,0.0,29.767777777777816,0.0,0.0
176,2019-06-28,89.94444444444444,79.50333333333332,69.86666666666666,64.63333333333334,68.80444444444441,64.63333333333334,92.36666666666666,71.98444444444443,48.96111111111111,14.977777777777778,6.979444444444443,1.5333333333333334,0.0,29.764444444444475,0.0,0.0
177,2019-06-29,90.05555555555556,79.62055555555555,70.00555555555556,64.79444444444445,68.96722222222219,64.79444444444445,92.43333333333334,72.10611111111108,49.06666666666667,14.966666666666667,6.9722222222222205,1.5333333333333334,0.0,29.76111111111114,0.0,0.0
178,2019-06-30,90.16666666666667,79.74444444444444,70.16666666666667,64.96666666666667,69.1333333333333,64.96666666666667,92.46666666666667,72.2122222222222,49.18888888888889,15.011111111111111,6.979444444444443,1.5333333333333334,0.0,29.757777777777807,0.0,0.0
179,2019-07-01,90.22777777777777,79.84833333333333,70.32777777777778,65.11666666666666,69.28555555555552,65.11666666666666,92.46666666666667,72.33444444444443,49.40555555555556,15.03888888888889,7.01111111111111,1.5611111111111111,0.0,29.75444444444447,0.0,0.0
180,2019-07-02,90.3,79.95555555555555,70.47777777777777,65.28888888888889,69.45055555555551,65.28888888888889,92.46666666666667,72.47166666666665,49.672222222222224,15.077777777777778,7.041666666666667,1.5611111111111111,0.0,29.75055555555558,0.0,0.0
181,2019-07-03,90.38888888888889,80.07944444444445,70.62777777777778,65.46666666666667,69.62722222222217,65.46666666666667,92.5,72.5972222222222,49.85,15.083333333333334,7.06,1.5611111111111111,0.0,29.74722222222224,0.0,0.0
182,2019-07-04,90.4888888888889,80.21944444444445,70.8,65.65,69.79277777777773,65.65,92.5,72.66055555555553,49.97222222222222,15.094444444444445,7.068333333333333,1.5611111111111111,0.0,29.7438888888889,0.0,0.0
183,2019-07-05,90.55555555555556,80.32277777777777,70.95,65.8,69.95222222222218,65.8,92.53333333333333,72.80166666666663,50.18888888888889,15.238888888888889,7.074444444444444,1.5611111111111111,0.0,29.740555555555567,0.0,0.0
184,2019-07-06,90.59444444444445,80.41888888888889,71.11111111111111,65.95,70.10388888888885,65.95,92.53333333333333,72.93666666666665,50.42777777777778,15.25,7.101666666666667,1.5611111111111111,0.0,29.737222222222233,0.0,0.0
185,2019-07-07,90.66666666666667,80.52722222222222,71.25555555555556,66.08888888888889,70.25166666666662,66.08888888888889,92.53333333333333,73.03499999999998,50.61666666666667,15.327777777777778,7.140555555555555,1.6055555555555556,0.0,29.73444444444445,0.0,0.0
186,2019-07-08,90.77777777777777,80.65333333333334,71.40555555555555,66.25,70.40666666666662,66.25,92.56666666666666,73.10833333333332,50.73888888888889,15.366666666666667,7.192222222222222,1.6444444444444444,0.0,29.731666666666666,0.0,0.0
187,2019-07-09,90.88888888888889,80.78666666666666,71.57222222222222,66.41111111111111,70.56888888888885,66.41111111111111,92.53888888888889,73.17833333333331,50.84444444444444,15.427777777777777,7.244999999999999,1.6833333333333333,0.0,29.72888888888889,0.0,0.0
188,2019-07-10,90.9888888888889,80.92000000000002,71.72222222222223,66.58333333333333,70.7433333333333,66.58333333333333,92.53888888888889,73.27333333333331,51.03888888888889,15.46111111111111,7.281666666666665,1.711111111111111,0.0,29.726111111111106,0.0,0.0
189,2019-07-11,91.06111111111112,81.03777777777779,71.87777777777778,66.74444444444444,70.8983333333333,66.74444444444444,92.57222222222222,73.3672222222222,51.23888888888889,15.0,7.308888888888888,1.711111111111111,0.0,29.72388888888888,0.0,0.0
190,2019-07-12,91.12777777777778,81.15277777777777,72.04444444444445,66.91666666666667,71.0533333333333,66.91666666666667,92.57222222222222,73.46111111111108,51.416666666666664,15.033333333333333,7.351666666666667,1.738888888888889,0.0,29.72222222222221,0.0,0.0
